125
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,c,c,c,c,c,c,-,-,-,c,c,c,c,c,c,-,c,-,-,-,-,-,c,-,c,-,-,-,-,-,-,-,c,-,c,-,-,-,-,-,-,-,c,-,c,-,-,-,-,-,-,-,c,-,c,-,-,-,-,-,-,-,c,-,c,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,c,-,-,-,-,-,-,-,-,-
-,-,-,-,-,c,c,c,c,c,c,c,-,-,-,c,c,c,c,c,c,c,-,-,-,c,c,c,c,c,c,-,c,-,-,-,-,-,-,-,c,-,c,-,-,-,-,-,-,c,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-,-,-
-,-,-,-,c,-,-,-,-,-,-,-,c,-,c,-,-,-,-,-,-,-,c,-,c,-,-,-,-,-,-,c,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,c,-,-,-,-,-,-,-
-,-,-,c,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-
-,-,-,s,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,c,-,-,-,-,-
-,-,-,|,-,-,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,c,-,-,-,-,-
-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,c,-,|,-,-,-
-,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,-,-,s,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,s,s,|,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,4,-,-,-,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,|,|,|,|,F,-,-
